mention,start,end,label,tool,source_text_id,sentence,full_text,application_context
Parganas,1285,1293,GPE,spacy,W4407830396,"In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
Odisha,1298,1304,GPE,spacy,W4407830396,"In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
Kendrapara,1378,1388,GPE,spacy,W4407830396,"In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
Balasore,1438,1446,GPE,spacy,W4407830396,"In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
Jajpur,1448,1454,GPE,spacy,W4407830396,"In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
Khordha,1456,1463,LOC,spacy,W4407830396,"In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
China,1028,1033,GPE,spacy,W4408576605,"Taking the provinces (regions) of China as an example, both the expert decision-making and cluster analysis methods are used to carry out water security evaluation under climate change impact.","The paper studied the water security evaluation dimensions under climate change impact and constructed regional water security evaluation indices under climate change impact based on the definition, the connotation, and the evaluation dimensions of water security under climate change impact, including water resources’ quantity sufficiency, water quality suitability, sustainability, cost affordability, and flood control security. Expert decision-making and cluster analysis methods are used to quantify the indices weights and standardize the indices. From the government level, the national indices of climate change adaptation are put forward, including 9 first-level indices and 36 second-level indices. From the professional level, the water resource evaluation indices, economic and social evaluation indices, and water security evaluation indices as well as the relevant weights are put forward. The evaluation indices ensure the connotation of perfection under climate change impact. Taking the provinces (regions) of China as an example, both the expert decision-making and cluster analysis methods are used to carry out water security evaluation under climate change impact. The evaluation results clearly diagnosed the regional water security under climate change impact in China. The study results are consistent with the current water resource situations.",Water Resources and Sustainability
China,1287,1292,GPE,spacy,W4408576605,The evaluation results clearly diagnosed the regional water security under climate change impact in China.,"The paper studied the water security evaluation dimensions under climate change impact and constructed regional water security evaluation indices under climate change impact based on the definition, the connotation, and the evaluation dimensions of water security under climate change impact, including water resources’ quantity sufficiency, water quality suitability, sustainability, cost affordability, and flood control security. Expert decision-making and cluster analysis methods are used to quantify the indices weights and standardize the indices. From the government level, the national indices of climate change adaptation are put forward, including 9 first-level indices and 36 second-level indices. From the professional level, the water resource evaluation indices, economic and social evaluation indices, and water security evaluation indices as well as the relevant weights are put forward. The evaluation indices ensure the connotation of perfection under climate change impact. Taking the provinces (regions) of China as an example, both the expert decision-making and cluster analysis methods are used to carry out water security evaluation under climate change impact. The evaluation results clearly diagnosed the regional water security under climate change impact in China. The study results are consistent with the current water resource situations.",Water Resources and Sustainability
the Otter Valley,130,146,LOC,spacy,W4408257106,"This article presents a commentary on a history of muddy flooding caused by soil erosion linked to maize cultivation, focusing on the Otter Valley in East Devon, UK.","This article presents a commentary on a history of muddy flooding caused by soil erosion linked to maize cultivation, focusing on the Otter Valley in East Devon, UK. Research has associated soil erosion with compaction during maize harvesting and crop planting in moist soil conditions, which reduces the soil's ability to absorb rainfall and increases the risk of erosion runoff events. Careful soil management practices, such as planting early maize varieties, addressing soil compaction, and ensuring crop cover, can often mitigate these issues. A growing concern, however, is the flooding associated with summer storms, where intense rainfall over large areas of erodible land—left exposed after maize planting—exacerbates soil erosion. The case study highlights a severe muddy flooding event during the summer of 2023, underscoring the heightened risk posed by more frequent high‐intensity summer rainfall. The conclusion of this study is the need to avoid growing large areas of maize on erosion‐prone fields near properties and watercourses, as there are limited agronomic measures and solutions available to effectively prevent such flooding under these conditions.",Soil erosion and sediment transport
East Devon,150,160,GPE,spacy,W4408257106,"This article presents a commentary on a history of muddy flooding caused by soil erosion linked to maize cultivation, focusing on the Otter Valley in East Devon, UK.","This article presents a commentary on a history of muddy flooding caused by soil erosion linked to maize cultivation, focusing on the Otter Valley in East Devon, UK. Research has associated soil erosion with compaction during maize harvesting and crop planting in moist soil conditions, which reduces the soil's ability to absorb rainfall and increases the risk of erosion runoff events. Careful soil management practices, such as planting early maize varieties, addressing soil compaction, and ensuring crop cover, can often mitigate these issues. A growing concern, however, is the flooding associated with summer storms, where intense rainfall over large areas of erodible land—left exposed after maize planting—exacerbates soil erosion. The case study highlights a severe muddy flooding event during the summer of 2023, underscoring the heightened risk posed by more frequent high‐intensity summer rainfall. The conclusion of this study is the need to avoid growing large areas of maize on erosion‐prone fields near properties and watercourses, as there are limited agronomic measures and solutions available to effectively prevent such flooding under these conditions.",Soil erosion and sediment transport
UK,162,164,GPE,spacy,W4408257106,"This article presents a commentary on a history of muddy flooding caused by soil erosion linked to maize cultivation, focusing on the Otter Valley in East Devon, UK.","This article presents a commentary on a history of muddy flooding caused by soil erosion linked to maize cultivation, focusing on the Otter Valley in East Devon, UK. Research has associated soil erosion with compaction during maize harvesting and crop planting in moist soil conditions, which reduces the soil's ability to absorb rainfall and increases the risk of erosion runoff events. Careful soil management practices, such as planting early maize varieties, addressing soil compaction, and ensuring crop cover, can often mitigate these issues. A growing concern, however, is the flooding associated with summer storms, where intense rainfall over large areas of erodible land—left exposed after maize planting—exacerbates soil erosion. The case study highlights a severe muddy flooding event during the summer of 2023, underscoring the heightened risk posed by more frequent high‐intensity summer rainfall. The conclusion of this study is the need to avoid growing large areas of maize on erosion‐prone fields near properties and watercourses, as there are limited agronomic measures and solutions available to effectively prevent such flooding under these conditions.",Soil erosion and sediment transport
